           CV0	          hist	   free energy	
     71.000000	     19.000000	      6.251960	
     73.000000	     80.000000	      2.666329	
     75.000000	    154.000000	      1.032813	
     77.000000	    125.000000	      1.553200	
     79.000000	    172.000000	      0.757099	
     81.000000	    162.000000	      0.906497	
     83.000000	    233.000000	      0.000000	
     85.000000	     56.000000	      3.555948	
     87.000000	      0.000000	     13.595980	
     89.000000	      0.000000	     13.595980	
     91.000000	      0.000000	     13.595980	
     93.000000	      0.000000	     13.595980	
     95.000000	      0.000000	     13.595980	
     97.000000	      0.000000	     13.595980	
     99.000000	      0.000000	     13.595980	
    101.000000	      0.000000	     13.595980	
    103.000000	      0.000000	     13.595980	
    105.000000	      0.000000	     13.595980	
    107.000000	      0.000000	     13.595980	
    109.000000	      0.000000	     13.595980	
    111.000000	      0.000000	     13.595980	
    113.000000	      0.000000	     13.595980	
    115.000000	      0.000000	     13.595980	
    117.000000	      0.000000	     13.595980	
    119.000000	      0.000000	     13.595980	
    121.000000	      0.000000	     13.595980	
    123.000000	      0.000000	     13.595980	
    125.000000	      0.000000	     13.595980	
    127.000000	      0.000000	     13.595980	
    129.000000	      0.000000	     13.595980	
    131.000000	      0.000000	     13.595980	
    133.000000	      0.000000	     13.595980	
    135.000000	      0.000000	     13.595980	
    137.000000	      0.000000	     13.595980	
    139.000000	      0.000000	     13.595980	
    141.000000	      0.000000	     13.595980	
    143.000000	      0.000000	     13.595980	
    145.000000	      0.000000	     13.595980	
    147.000000	      0.000000	     13.595980	
    149.000000	      0.000000	     13.595980	
    151.000000	      0.000000	     13.595980	
    153.000000	      0.000000	     13.595980	
    155.000000	      0.000000	     13.595980	
    157.000000	      0.000000	     13.595980	
    159.000000	      0.000000	     13.595980	
    161.000000	      0.000000	     13.595980	
    163.000000	      0.000000	     13.595980	
    165.000000	      0.000000	     13.595980	
    167.000000	      0.000000	     13.595980	
    169.000000	      0.000000	     13.595980	
