           CV0	          hist	   free energy	  bias force 0	   var force 0	  czar force 0	
     71.000000	    107.000000	     26.253981	     -0.000411	      0.000000	      0.000315	
     73.000000	    215.000000	     25.607921	     -0.000145	      0.000000	     -0.000123	
     75.000000	    380.000000	     24.832891	      0.000373	      0.000000	     -0.000148	
     77.000000	    182.000000	     26.162304	     -0.000269	      0.000000	      0.000253	
     79.000000	    450.000000	     25.578281	      0.000087	      0.000000	     -0.000111	
     81.000000	    162.000000	     23.559001	      0.000053	      0.000000	     -0.000385	
     83.000000	    146.000000	     25.356007	     -0.000218	      0.000000	      0.000342	
     85.000000	     96.000000	     24.798939	      0.000371	      0.000000	     -0.000106	
     87.000000	    546.000000	     24.316844	      0.000104	      0.000000	     -0.000092	
     89.000000	    259.000000	     24.903410	      0.000112	      0.000000	      0.000112	
     91.000000	    275.000000	     24.613051	      0.000013	      0.000000	     -0.000055	
     93.000000	    563.000000	     24.766265	      0.000034	      0.000000	      0.000029	
     95.000000	    837.000000	     24.967976	      0.000227	      0.000000	      0.000038	
     97.000000	   1090.000000	     26.286500	      0.000218	      0.000000	      0.000251	
     99.000000	   1217.000000	     27.101916	      0.000146	      0.000000	      0.000155	
    101.000000	   1663.000000	     28.057621	      0.000125	      0.000000	      0.000182	
    103.000000	   1835.000000	     28.737165	      0.000143	      0.000000	      0.000129	
    105.000000	   1667.000000	     29.141896	      0.000092	      0.000000	      0.000077	
    107.000000	   1308.000000	     30.437986	      0.000135	      0.000000	      0.000247	
    109.000000	    742.000000	     31.488368	      0.000134	      0.000000	      0.000200	
    111.000000	    846.000000	     31.736809	      0.000254	      0.000000	      0.000047	
    113.000000	    595.000000	     32.878700	     -0.000033	      0.000000	      0.000217	
    115.000000	    710.000000	     32.098240	      0.000037	      0.000000	     -0.000149	
    117.000000	    821.000000	     32.021840	     -0.000093	      0.000000	     -0.000015	
    119.000000	    588.000000	     32.170282	      0.000070	      0.000000	      0.000028	
    121.000000	    389.000000	     33.305919	     -0.000099	      0.000000	      0.000216	
    123.000000	    201.000000	     35.666570	      0.000184	      0.000000	      0.000450	
    125.000000	     30.000000	     39.771567	      0.000370	      0.000000	      0.000782	
    127.000000	     23.000000	     41.076538	      0.000193	      0.000000	      0.000249	
    129.000000	     18.000000	     41.322731	      0.000023	      0.000000	      0.000047	
    131.000000	     20.000000	     37.577507	     -0.000117	      0.000000	     -0.000713	
    133.000000	    242.000000	     34.186811	     -0.000107	      0.000000	     -0.000646	
    135.000000	    257.000000	     34.837392	     -0.000253	      0.000000	      0.000124	
    137.000000	    109.000000	     35.495877	     -0.000027	      0.000000	      0.000125	
    139.000000	     81.000000	     36.105894	     -0.000211	      0.000001	      0.000116	
    141.000000	     85.000000	     36.326214	     -0.000462	      0.000000	      0.000042	
    143.000000	    147.000000	     34.906422	      0.000227	      0.000000	     -0.000270	
    145.000000	    377.000000	     33.721020	      0.000016	      0.000000	     -0.000226	
    147.000000	    199.000000	     32.959564	     -0.000413	      0.000000	     -0.000145	
    149.000000	    380.000000	     31.698059	     -0.000038	      0.000000	     -0.000240	
    151.000000	    144.000000	     35.086654	      0.000000	      0.000000	      0.000645	
    153.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.001180	
    155.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.000000	
    157.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.000000	
    159.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.000000	
    161.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.000000	
    163.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.000000	
    165.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.000000	
    167.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.000000	
    169.000000	      0.000000	     41.284849	      0.000000	      0.000000	      0.000000	
